name,group,type,category,valuetype,default,min,max
reproducible?,parameter,global,setup,boolean,FALSE,NA,NA
rnd-seed,parameter,global,setup,numeric,3478436,NA,NA
which-map,parameter,global,setup,string,"""hundred-farmers3""",NA,NA
land-use-change-decision,parameter,global,setup,string,"""only-one-field-per-year""",NA,NA
sim-time,parameter,global,setup,numeric,50,NA,NA
price_scenario,parameter,global,prices,string,"""constant_prices""",NA,NA
price-fluctuation-percent,parameter,global,prices,numeric,10,NA,NA
historical_smoothing,parameter,global,prices,numeric,0,NA,NA
LUT-0-folder,parameter,global,prices,string,"""oilpalm""",NA,NA
LUT-0-price,parameter,global,prices,numeric,90,NA,NA
LUT-0-price-mu,parameter,global,prices,numeric,1.9,NA,NA
LUT-0-price-sd,parameter,global,prices,numeric,1.9,NA,NA
LUT-1-folder,parameter,global,prices,string,"""rubber""",NA,NA
LUT-1-price,parameter,global,prices,numeric,1100,NA,NA
LUT-1-price-mu,parameter,global,prices,numeric,11,NA,NA
LUT-1-price-sd,parameter,global,prices,numeric,11,NA,NA
consumption-on?,parameter,global,consumption,boolean,TRUE,NA,NA
consumption_base,parameter,global,consumption,numeric,1000,NA,NA
consumption_frac_cash,parameter,global,consumption,numeric,0.1,NA,NA
consumption_frac_wealth,parameter,global,consumption,numeric,0.05,NA,NA
heterogeneous-hhs?,parameter,global,inefficiency,boolean,TRUE,NA,NA
learning-spillover?,parameter,global,inefficiency,boolean,TRUE,NA,NA
setup-hh-network,parameter,global,inefficiency,string,"""hh-nw-n-nearest-neighbors""",NA,NA
hh-nw-param1,parameter,global,inefficiency,numeric,10,NA,NA
hh-nw-param2,parameter,global,inefficiency,numeric,50,NA,NA
spillover-share,parameter,global,inefficiency,numeric,1,NA,NA
h_debt_years_max_bankrupt,parameter,global,landmarket,numeric,5,NA,NA
initial-wealth-distribution,parameter,global,wealth,string,"""log-normal""",NA,NA
init-wealth-correction-factor,parameter,global,wealth,numeric,10,NA,NA
wealth-log-mean,parameter,global,wealth,numeric,7,NA,NA
wealth-log-sd,parameter,global,wealth,numeric,1,NA,NA
wealth-constant,parameter,global,wealth,numeric,10000,NA,NA
min-wealth,parameter,global,wealth,numeric,30,NA,NA
time-horizon,parameter,global,capital,numeric,10,NA,NA
discount-rate,parameter,global,capital,numeric,0.1,NA,NA
land_price,parameter,global,capital,numeric,750,NA,NA
external_income,parameter,global,capital,numeric,500,NA,NA
rent_rate_capital_lend,parameter,global,capital,numeric,0.1,NA,NA
rent_rate_capital_borrow,parameter,global,capital,numeric,0.15,NA,NA
